sha,client,author_date,year,subject,weight,security_relevant,defect_class,disclosure,confidence,evidence,why,classified
c02c3ad7b14becea7cfd00659c8b171a498cf2d4,besu,2018-10-17T12:54:46+10:00,2018,Nc 862 spotless license headers (#69),204.8046511627907,False,none,none,1.0,+ * Copyright 2018 ConsenSys AG.,"This commit only adds Apache license headers to source files via spotless formatting, with no correctness or security impact.",True
ba18fcf1635cc10fba57563eecc441481176032d,besu,2018-10-24T13:46:44+11:00,2018,Renamed the iBFT NEW_CHAIN_HEAD_HEADER event type to NEW_CHAIN_HEAD (#114),204.8046511627907,False,none,none,0.95,"-    NEW_CHAIN_HEAD_HEADER,
+    NEW_CHAIN_HEAD,",This is a pure rename of an event type with no correctness or security consequence.,True
2f5f829c1debd30bbbee7c1b9125689c36d8fe0b,besu,2018-10-26T15:18:50+10:00,2018,PantheonInfo updated after first build (#167),204.8046511627907,False,none,none,1.0,"-  private static final String version = ""pantheon/0.8.1"";","This commit merely updates a version string for a build snapshot, with no correctness or security impact.",True
51c43f430c92cecfa77e170bdab4d0c58a8fc754,besu,2018-10-28T08:40:42+02:00,2018,Fix --rinkeby command description (#198),204.8046511627907,False,none,none,1.0,"+            + "" - see https://github.com/ethereum/EIPs/issues/225 (default: ${DEFAULT-VALUE})""","This only fixes a typo in a CLI help description string, with no effect on node behavior or security.",True
6f549c2808294699d0720d5cce140ec3727dc765,besu,2018-12-03T13:15:15-07:00,2018,Plumb in three more metrics (#344),204.8046511627907,False,none,none,0.95,metricsSystem.createGauge(,"This commit adds metrics instrumentation (gauges and histograms) and plumbs the metrics system through the codebase, which is observability/feature work with no correctness or security consequence.",True
ae060776e7603fea8e988dc91dd34cf0835c7c5d,besu,2019-01-25T12:50:08+01:00,2019,Nc 2026 network option (#645),204.8046511627907,False,none,none,0.95,import static tech.pegasys.pantheon.cli.NetworkName.MAINNET;,"This commit adds a --network CLI option, renames options, and updates documentation; it is a feature/refactor with no security-relevant defect fix.",True
aef5223aecf5be49da21963f6ae69df4b8a9bd35,besu,2019-02-18T16:21:25-05:00,2019,Reorganize eth tasks (#890),204.8046511627907,False,none,none,0.95,rename from ethereum/eth/src/main/java/tech/pegasys/pantheon/ethereum/eth/manager/AbstractEthTask.java,"This commit is a pure refactor that moves classes between packages and changes method visibility, with no correctness or security consequence.",True
b4e6784e40158add3d8071bb13fe4ab811df07f7,besu,2019-02-22T12:47:55-05:00,2019,[PAN-2198] Update GetNodeDataFromPeerTask to return a map (#931),204.8046511627907,False,none,none,0.9,-public class GetNodeDataFromPeerTask extends AbstractPeerRequestTask<List<BytesValue>> {,"This commit is a refactor that changes the return type of a task from a List to a Map to make hash calculations more efficient, without fixing a security-relevant defect.",True
cc6207b8f2e87330b5c0f9c51d0fda16abbb88cc,besu,2019-04-29T10:35:23+10:00,2019,Don't abort in-progress master builds when a new commit is added. (#1358),204.8046511627907,False,none,none,0.95,"+if (env.BRANCH_NAME != ""master"") {","This is a CI/build configuration change to avoid aborting master branch builds, with no impact on consensus, availability, fund integrity, or operator safety.",True
94e51fd4f4a1c5ebd2d5cfd3b0685bd5b6851203,besu,2019-04-29T15:28:31+10:00,2019,Updated overview (#1362),204.8046511627907,False,none,none,1.0,+and Görli. Pantheon implements Proof of Work (Ethash) and Proof of Authority (IBFT 2.0 and Clique) consensus,This commit only updates documentation text and does not fix any code defect.,True
dd0efd92d6937f5f8ca5bb7981e4d4d5555af9f3,besu,2019-05-09T15:02:44+10:00,2019,simple account permissioning (#1409),204.8046511627907,False,none,none,0.95,+contract SimpleAccountPermissioning {,"This commit adds a new account permissioning smart contract and associated tests, which is a feature addition, not a fix for a defect.",True
d6707b5af6c6d808e09631a9755e4b0f917f34fd,besu,2019-05-28T12:09:03-07:00,2019,Added troubleshooting point (#1495),204.8046511627907,False,none,none,1.0,+## Illegal Reflective Access Error on Startup,This commit only adds documentation to a troubleshooting guide and makes no code changes.,True
5ce6b5e85a5bd29af0bb3d369dd0fbf0fcabf913,besu,2019-06-14T15:17:52-04:00,2019,[PAN-2798] Reorganize p2p classes (#1567),204.8046511627907,False,none,none,0.95,-import tech.pegasys.pantheon.ethereum.p2p.api.MessageData;,"This commit merely reorganizes/renames p2p package imports from one location to another, which is a refactor with no correctness or security consequence.",True
3506c574b0e0cc3e26ca26fee1c01419bda5be3a,besu,2019-06-25T10:12:39-06:00,2019,[PAN-2756] Istanbul scaffolding (#1605),204.8046511627907,False,none,none,0.95,+  OptionalLong getIstanbulBlockNumber();,"This commit adds new configuration options and scaffolding for the Istanbul hard fork, which is a feature addition, not a fix for any security-relevant defect.",True
16934ef69df2e4406fd02c6f648e5042ad815da8,besu,2019-07-06T12:50:52-06:00,2019,Add UPnP Support (#1334),204.8046511627907,False,none,none,0.95,+  implementation project(':nat'),"This commit adds a new UPnP NAT traversal feature with a new CLI flag and dependency, not a fix to any existing defect.",True
26c7e059480caf57e9af4413cadc3de2d6adbebe,besu,2019-07-16T01:10:35+01:00,2019,[PAN-2910] Eea get private transaction fix (#1707),204.8046511627907,True,state_corruption,silent,0.7,"-    final String key = new String(input.extractArray(), UTF_8);","The fix corrects a key encoding bug where base64-encoded enclave keys were incorrectly decoded as UTF-8 strings, which would corrupt private transaction retrieval and affect private state integrity.",True
92cc42cbfcb220ce7d3505d1f4a2280e572d0b40,besu,2019-08-12T23:26:50-04:00,2019,remove config project's unnecessary dependency on orion (#1839),204.8046511627907,False,none,none,0.95,-  testImplementation 'net.consensys:orion',"This is a build/dependency cleanup change removing an unnecessary test dependency, with no correctness or security consequence.",True
7d132ec97b4fbd26a2ba6c80409594bc3be58d1b,besu,2019-09-17T12:08:40+02:00,2019,update Cava library to Tuweni Library,204.8046511627907,False,none,none,1.0,-import net.consensys.cava.toml.Toml;,"This commit merely renames a dependency from Cava to Tuweni (same library, renamed when moved to Apache), with no correctness or security consequence.",True
7b5325b0ac0c207e38699cb9860bb77856c3d19c,besu,2019-09-23T16:42:44+10:00,2019,Added locking api call. Moved APIs to their own package. Allowed for sending ether to accounts before they exist,204.8046511627907,False,none,none,0.85,"+      addMethods(enabledMethods, new EthIsLocked(blockchainQueries, parameter));","This commit adds a new locking API method and moves existing methods to a crosschain package; it is a feature/refactor change with no evidence of fixing a defect affecting consensus, availability, integrity, or operator safety.",True
d94cfdd24b2f48a2e13f1a33da004a47f26655d6,besu,2019-09-25T20:57:37+03:00,2019,Fix some mark sweep pruner bugs where nodes that should be kept were being swept  (Re-merge of #38) (#50),204.8046511627907,False,none,none,0.7,+  private final InMemoryKeyValueStorage markStorage = new InMemoryKeyValueStorage();,"The diff as shown only contains new integration test code; no line showing the actual defect fix in the pruner source can be quoted, so the security-relevance cannot be established from the diff.",True
d96b1e1f15c073e9076bd52f0276ee7ccce646a9,besu,2019-10-16T17:09:14-04:00,2019,Complete future exceptionally on failure,204.8046511627907,True,concurrency,silent,0.7,listeningPortFuture.completeExceptionally(new IllegalStateException(message));,"The previous code could leave listeningPortFuture uncompleted (causing a hang) or throw an unhandled exception via checkState when the future failed, affecting node availability.",True
8abbb750d9999aabfacc59fbdd484703461928b0,besu,2019-10-17T16:28:08+10:00,2019,Additional unit test for selecting replaced pending transactions (#116),204.8046511627907,False,none,none,1.0,+  @Test,"The diff only adds a unit test with no production code change, so it cannot be fixing a security-relevant defect.",True
1d9805ecddc25999f29a35b3ecb0fbd64cf35a39,besu,2019-10-21T17:07:24+10:00,2019,[PIE-2052] - CLI -V to print plugin versions,204.8046511627907,False,none,none,0.95,+    commandLine =,"This commit adds a feature to print plugin versions via CLI -V, not a fix to any security-relevant defect.",True
3270f8e2e320621cd667b9c7079d5056330124e0,besu,2019-10-23T08:48:48+10:00,2019,1.3.2 release (#125),204.8046511627907,False,none,none,0.0,+version=1.3.2,This is a release version bump and changelog update with no code changes fixing any defect.,True
