id,source_platform,contest,issue_id,severity,title,description,source_url,introduced_in_commit,domain,scraped_at,stride,cwe_top25,evidence,silent_fix_prob,security_score,fix_commit,confidence,n_signals,authority_tier
besu:ghsa-advisory:GHSA-4456-w38r-m53x,besu,ghsa-advisory,GHSA-4456-w38r-m53x,Critical,Gas allocation error in CALL operations in Besu EVM [GHSA-4456-w38r-m53x CVE-2022-36025],"### Impact
An error in 32 bit signed and unsigned types in the calculation of available gas in the CALL operations (including DELEGATECALL) results in incorrect gas being passed into called contracts and incorrect gas being returned after call execution.  Where the amount of gas makes a difference in the success or failure, or if the gas is a negative 64 bit value, the execution will result in a different state root than expected, resulting in a consensus failure in networks with multiple EVM implementations. 

In networks with a single EVM implementation this can be used to execute with significantly more gas than then transaction requested, possibly exceeding gas limitations. 

### Patches
Version 22.7.1 contains a fix, ensuring that excess gas will not be allocated to inner transaction calls and correcting the excess gas errors.

### Workarounds
Reverting to version 22.1.3 or earlier will prevent incorrect execution. However many ethereum mainnet networks require changes in more recent versions of Besu and should not use older versions of besu and should instead use the patched version.  

Ethereum Classic and other networks not depending on a Proof of Stake transition should function fine with version 22.1.3 or earlier.

### References
TBD or delete

### For more information
Issue was found by [Martin Holst Swende](https://github.com/holiman) using [goevmlab](https://github.com/holiman/goevmlab), it is believed that no production networks have transaction",https://github.com/besu-eth/besu/security/advisories/GHSA-4456-w38r-m53x,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/security/advisories/GHSA-4456-w38r-m53x""]",,1.0,,high,4,A_authoritative
besu:hyperledger-besu:GHSA-7pg2-p5vj-xp5h,besu,hyperledger-besu,GHSA-7pg2-p5vj-xp5h,High,"SHL, SHR, and SAR operations trigger native exception at key values","### Impact
Changes in the implementation of the SHL, SHR, and SAR operations resulted in the introduction of a signed type coercion error in values that represent negative values for 32 bit signed integers.  Smart contracts that ask for shifts between approximately 2 billion and 4 billion bits (nonsensical but valid values for the operation) will fail to execute and hence fail to validate.  

* In networks where vulnerable versions are mining with other clients or non-vulnerable versions this will result in a fork and the relevant transactions will not be included in the fork. 
* In networks where vulnerable versions are not mining (such as Rinkeby) no fork will result and the validator nodes will stop accepting blocks.
* In networks where only vulnerable versions are mining the relevant transaction will not be included in any blocks. When the network adds a non-vulnerable version the network will act as in the first case.

### Patches
Besu 21.10.2 fixes this (PR #3039). Besu 21.7.4 is not vulnerable and clients can roll back to that version.

### Workarounds
Once a transaction with the relevant shift operations is included in the canonical chain the only remediation is to make sure all nodes are on non-vulnerable versions.

### For more information
If you have any questions or comments about this advisory:
* Open an issue in [Hyperledger Besu](https://github.com/hyperledger/besu/issues)
* Email us at [security@hyperledger.org](mailto:security@hyperledger.org)",https://github.com/besu-eth/besu/security/advisories/GHSA-7pg2-p5vj-xp5h,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/security/advisories/GHSA-7pg2-p5vj-xp5h""]",,1.0,,high,2,A_authoritative
besu:hyperledger-besu:GHSA-qgfj-mjpc-7w3q,besu,hyperledger-besu,GHSA-qgfj-mjpc-7w3q,Low,Potential DoS in Besu HTTP JSON-RPC API,"### Report
I believe I've identified a vulnerability in  Hyperledegr Besu where its possible to cause an interruption/denial of service for the HTTP JSON-RPC API service (Potential to also impact websocket service)

If username and password authentication is enabled for the HTTP JSON-RPC API service, then prior to making any requests to an API endpoint the requestor must use the login endpoint to obtain a JSON web token (JWT) using their credentials.

A single user can readily overload the login endpoint with invalid requests (incorrect password).

As the supplied password is checked for validity on the main vertx event loop and takes a relatively long time this can cause the processing of other valid requests to fail.

A valid username is required for this vulnerability to be exposed. 

### Reporter

Ian Cusden <ian.cusden@gmail.com> 

### Impact

- Potential DoS from a remote network position
- All versions of Besu are impacted
- Attacker needs to know a valid username

### Patches
_Has the problem been patched? What versions should users upgrade to?_

### Workarounds
_Is there a way for users to fix or remediate the vulnerability without upgrading?_

### References
_Are there any links users can visit to find out more?_

### For more information
If you have any questions or comments about this advisory:
* Open an issue in [example link to repo](http://example.com)
* Email us at [example email address](mailto:example@example.com)",https://github.com/besu-eth/besu/security/advisories/GHSA-qgfj-mjpc-7w3q,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/security/advisories/GHSA-qgfj-mjpc-7w3q""]",,0.9,,high,2,A_authoritative
besu:hyperledger-besu:PR#10482,besu,hyperledger-besu,PR#10482,Unrated,Fix IndexOutOfBoundsException race condition in TransactionBroadcaster,"## PR description
This PR fixes a Time-of-Check to Time-of-Use (TOCTOU) race condition in `TransactionBroadcaster.onTransactionsAdded()` that triggers an unhandled `IndexOutOfBoundsException` (or `IllegalArgumentException`). 

Previously, the number of peers to send full transactions to (`numPeersToSendFullTransactions`) was calculated before the available peers were streamed and collected into a filtered list. If a peer disconnected between these steps, `peers.size()` could be less than `numPeersToSendFullTransactions`. Because this boundary was not validated, it caused `peers.subList()` to crash the task and break the `eth_sendRawTransaction` RPC call. 

This fix bounds the sublist index using `Math.min(numPeersToSendFullTransactions, peers.size())` to ensure safe operation under dynamic network conditions. 

## Fixed Issue(s)
<!-- Please link to fixed issue(s) here using format: fixes #<issue number> -->
<!-- Example: ""fixes #2"" -->
fixes #10481 

### Thanks for sending a pull request! Have you done the following?

- [x] Checked out our [contribution guidelines](https://github.com/besu-eth/besu/blob/main/CONTRIBUTING.md)?
- [ ] Considered documentation and added the `doc-change-required` label to this PR [if updates are required](https://wiki.hyperledger.org/display/BESU/Documentation).
- [ ] Considered the changelog and included an [update if required](https://wiki.hyperledger.org/display/BESU/Changelog).
- [ ] For database changes (e.g. KeyValueSegmentIdentifier) considered compatibility and performed forwards and backwards compatibility tests

### Locally, you can run these tests to catch failures early:

- [x] spotless: `./gradlew spotlessApply`
- [x] unit tests: `./gradlew build`
- [ ] acceptance tests: `./gradlew acceptanceTest`
- [ ] integration tests: `./gradlew integrationTest`
- [ ] reference tests: `./gradlew ethereum:referenceTests:referenceTests`
- [ ] hive tests: [Engine or other RPCs modified?](https://lf-hyperledger.atlassian.net/wiki/spaces/BESU/pages/22156302/Using+Hive+Test+Suite)",https://github.com/besu-eth/besu/pull/10482,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/10482""]",1.0,0.5,,medium,4,B_corroborated
besu:hyperledger-besu:PR#9710,besu,hyperledger-besu,PR#9710,Unrated,Update assertj for CVE-2026-24400,"## PR description

See https://nvd.nist.gov/vuln/detail/CVE-2026-24400 which describes a high severity CVE in assertj.

This PR upgrades to `v3.27.7` - see https://github.com/assertj/assertj/releases/tag/assertj-build-3.27.7",https://github.com/besu-eth/besu/pull/9710,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/9710""]",0.0,1.0,,high,1,A_authoritative
e9c4d0538157b24f,besu,hyperledger/besu,CHANGELOG#63a74a07ecb0dd66,Info,Upgrade spring-security-crypto to address CVE-2025-22228 [#8448](https://github.com/hyperledger/besu/pull/8448),"### Bug fixes
- Fix QBFT and IBFT transitions that change the mining beneficiary [#8387](https://github.com/hyperledger/besu/issues/8387)
- `eth_getLogs` - empty topic is a wildcard match [#8420](https://github.com/hyperledger/besu/pull/8420)
- Upgrade spring-security-crypto to address CVE-2025-22228 [#8448](https://github.com/hyperledger/besu/pull/8448)
- Fix restoring txpool from disk when blob transactions are present [#8481](https://github.com/hyperledger/besu/pull/8481)
- Fix for bonsai db inconsistency on abnormal shutdown [#8500](https://github.com/hyperledger/besu/pull/8500)
- Fix to add stateroot mismatches to bad block manager [#8207](https://github.com/hyperledger/besu/pull/8207)",https://github.com/hyperledger/besu/blob/main/CHANGELOG.md#L836,,ethereum,2026-07-02T03:45:44.145568+00:00,Other,N/A,"[""https://github.com/besu-eth/besu/pull/8448"", ""https://github.com/hyperledger/besu/blob/main/CHANGELOG.md#L836"", ""https://github.com/besu-eth/besu/releases/tag/25.4.0""]",,1.0,,high,3,A_authoritative
besu:hyperledger-besu:PR#8362,besu,hyperledger-besu,PR#8362,Unrated,Safely handle race condition between isEmpty() and lastKey() being called,"## PR description
Safely handle cases where a map's `isEmpty()` call returns false, but the map is updated before the call to `lastKey()` is made.

I've looked through the rest of the codebase and fixed the one other place I think we could hit this. For other code paths that use the same combination of `isEmpty()` and `lastKey()` I don't think they are likely to suffer from the same issue. If they do the `NoSuchElementException` will clearly point to where else we need to fix it.

No change log entry as it's just an internal fix that nobody else has reported seeing yet.

## Fixed Issue(s)
Fixes https://github.com/hyperledger/besu/issues/8356",https://github.com/besu-eth/besu/pull/8362,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/8362""]",0.8,0.5,,medium,3,B_corroborated
d03b52db03359043,besu,hyperledger/besu,CHANGELOG#be4439032f92d9ee,Info,Upgrade Netty to version 4.1.118 to fix CVE-2025-24970 [#8275](https://github.com/hyperledger/besu/pull/8275),"#### Parallelization
- Improve conflict detection by considering slots to reduce false positives [#7923](https://github.com/hyperledger/besu/pull/7923)
#### Dependencies 
- Upgrade Netty to version 4.1.118 to fix CVE-2025-24970 [#8275](https://github.com/hyperledger/besu/pull/8275)
- Update the jc-kzg-4844 dependency from 1.0.0 to 2.0.0, which is now available on Maven Central [#7849](https://github.com/hyperledger/besu/pull/7849)
- Other dependency updates [#8293](https://github.com/hyperledger/besu/pull/8293) [#8315](https://github.com/hyperledger/besu/pull/8315) [#8350](https://github.com/hyperledger/besu/pull/8350)
- Update to gradle 8.11 [#8294](https://github.com/hyperledger/besu/pull/8294) and update usage of some deprecated features [#8295](https://github.com/hyperledger/besu/pull/8295) [#8340](https://github.com/hyperledger/besu/pull/8340)",https://github.com/hyperledger/besu/blob/main/CHANGELOG.md#L878,,ethereum,2026-07-02T03:45:44.145568+00:00,Other,N/A,"[""https://github.com/besu-eth/besu/pull/8275"", ""https://github.com/hyperledger/besu/blob/main/CHANGELOG.md#L878"", ""https://github.com/besu-eth/besu/releases/tag/25.3.0""]",,1.0,,high,2,A_authoritative
besu:hyperledger-besu:PR#7770,besu,hyperledger-besu,PR#7770,Unrated,update jose4j version for handling cve CVE-2023-51775,Updated to version 0.9.4,https://github.com/besu-eth/besu/pull/7770,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/7770""]",0.0,1.0,,high,1,A_authoritative
besu:hyperledger-besu:PR#7664,besu,hyperledger-besu,PR#7664,Unrated,Update protobuf to 3.25.5 to resolve CVE-2024-7254,"## PR description
Our vulnerability scan has shown up a `HIGH` CVE in `com.google.protobuf`:

```
┌──────────────────────────────────────────────────────────────┬───────────────┬──────────┬────────┬───────────────────┬────────────────────────┬───────────────────────────────────────────────────────────┐
│                           Library                            │ Vulnerability │ Severity │ Status │ Installed Version │     Fixed Version      │                           Title                           │
├──────────────────────────────────────────────────────────────┼───────────────┼──────────┼────────┼───────────────────┼────────────────────────┼───────────────────────────────────────────────────────────┤
│ com.google.protobuf:protobuf-java (protobuf-java-3.22.0.jar) │ CVE-2024-7254 │ HIGH     │ fixed  │ 3.22.0            │ 3.25.5, 4.27.5, 4.28.2 │ protobuf: StackOverflow vulnerability in Protocol Buffers │
│                                                              │               │          │        │                   │                        │ https://avd.aquasec.com/nvd/cve-2024-7254                 │
└──────────────────────────────────────────────────────────────┴───────────────┴──────────┴────────┴───────────────────┴────────────────────────┴───────────────────────────────────────────────────────────┘
```

This PR updates the dependency to version `3.25.5`",https://github.com/besu-eth/besu/pull/7664,,ethereum,2026-07-02T03:45:43Z,Other,N/A,"[""https://github.com/besu-eth/besu/pull/7664""]",0.0,1.0,,high,2,A_authoritative
