population,dimension,category,rows,advisory_rows,advisory_percent,odds_ratio,ci95_low,ci95_high,p_value,q_value_bh
A_only,attack_path,crafted_state,22,8,36.364,0.332828,0.136486,0.811619,0.015565946,0.046697839
A_only,attack_path,malformed_input,131,88,67.176,1.746414,1.029872,2.961498,0.038523854,0.057785781
A_only,attack_path,malicious_p2p_message,25,17,68.0,1.348328,0.567917,3.201148,0.49810444,0.49810444
A_only,label,p2p-interface,60,50,83.333,4.147896,2.003265,8.5885,0.0001276168,0.00025523361
A_only,label,build-ci,24,16,66.667,1.261387,0.527315,3.017358,0.60177986,0.60177986
A_only,language,Go,68,54,79.412,3.135645,1.629119,6.035327,0.00062425686,0.0015841785
A_only,language,Rust,27,8,29.63,0.225134,0.095714,0.52955,0.0006336714,0.0015841785
A_only,language,Java,31,30,96.774,15.716157,2.980727,82.864887,0.0011638664,0.0019397773
A_only,language,Nim,52,24,46.154,0.438742,0.235726,0.816602,0.0093437968,0.011679746
A_only,language,TypeScript,50,26,52.0,0.597864,0.319449,1.118932,0.1077067,0.1077067
A_only,layer,execution,94,71,75.532,2.835577,1.602678,5.016913,0.00034321991,0.00034321991
A_only,layer,consensus,141,73,51.773,0.352662,0.199326,0.623956,0.00034321991,0.00034321991
A_only,root_cause,missing_input_validation,68,33,48.529,0.478178,0.270319,0.84587,0.011238341,0.044953362
A_only,root_cause,resource_exhaustion,33,25,75.758,2.096234,0.918569,4.783743,0.078708895,0.15741779
A_only,root_cause,other,51,28,54.902,0.713086,0.382699,1.328696,0.28689299,0.38252398
A_only,root_cause,consensus_divergence,21,14,66.667,1.251852,0.497359,3.150907,0.63339278,0.63339278
A_only,source_platform,geth,38,34,89.474,6.07089,2.185587,16.863071,0.00054005377,0.0021602151
A_only,source_platform,nimbus,52,24,46.154,0.45301,0.243779,0.841822,0.012257735,0.024515471
A_only,source_platform,lodestar,50,26,52.0,0.61612,0.329661,1.151498,0.12904194,0.17205592
A_only,source_platform,erigon,25,15,60.0,0.929031,0.40471,2.132634,0.8621561,0.8621561
A_or_B,attack_path,malicious_tx,26,10,38.462,7.325997,3.3167,16.181817,8.4175004e-07,3.7878752e-06
A_or_B,attack_path,malformed_input,752,93,12.367,2.376801,1.692414,3.337942,5.8314964e-07,3.7878752e-06
A_or_B,attack_path,crafted_state,367,8,2.18,0.212305,0.105263,0.428196,1.493743e-05,4.481229e-05
A_or_B,attack_path,malicious_attestation,152,2,1.316,0.166279,0.047116,0.586816,0.0052954415,0.011914743
A_or_B,attack_path,internal_only,110,3,2.727,0.33745,0.114857,0.991435,0.048195062,0.086751112
A_or_B,attack_path,peer,88,10,11.364,1.481663,0.760852,2.885348,0.24758814,0.37138222
A_or_B,attack_path,large_input,43,5,11.628,1.567554,0.631474,3.891257,0.33253257,0.42754188
A_or_B,attack_path,malicious_block,50,4,8.0,1.049528,0.393065,2.802353,0.92314607,0.92314607
A_or_B,attack_path,malicious_p2p_message,211,17,8.057,0.971125,0.577437,1.633222,0.91203619,0.92314607
A_or_B,label,p2p-interface,157,50,31.847,7.101509,4.81019,10.484291,6.042958e-23,1.3898803e-21
A_or_B,label,crypto,29,12,41.379,8.335028,3.952922,17.57502,2.5311822e-08,2.9108595e-07
A_or_B,label,build-ci,64,17,26.562,4.37619,2.461414,7.780501,4.9568725e-07,3.8002689e-06
A_or_B,label,p2p,69,15,21.739,3.314595,1.836485,5.982377,6.9596907e-05,0.00040018222
A_or_B,label,state-trie,187,3,1.604,0.186847,0.064035,0.545195,0.0021384903,0.0098370552
A_or_B,label,sync,125,2,1.6,0.206263,0.058318,0.729523,0.014313051,0.054866694
A_or_B,label,beacon-chain:attestation,95,2,2.105,0.277773,0.078229,0.986309,0.047555033,0.13672072
A_or_B,label,fork-choice,86,0,0.0,0.059528,0.003675,0.964175,0.047069234,0.13672072
A_or_B,label,beacon-chain:block-processing,71,0,0.0,0.072704,0.004481,1.179557,0.06520609,0.16663778
A_or_B,label,test,60,1,1.667,0.265829,0.05214,1.355299,0.11089445,0.25505724
A_or_B,label,validator,66,2,3.03,0.410132,0.11467,1.466882,0.17045369,0.35640317
A_or_B,label,cli,30,0,0.0,0.174845,0.010639,2.873581,0.22210368,0.42569872
A_or_B,label,transactions,84,4,4.762,0.59345,0.226271,1.556463,0.28883278,0.44990506
A_or_B,label,txpool,54,2,3.704,0.507673,0.141189,1.825441,0.29914282,0.44990506
A_or_B,label,database,37,1,2.703,0.439577,0.085154,2.269164,0.32634064,0.44990506
A_or_B,label,engine-api,40,1,2.5,0.405439,0.078732,2.087849,0.2802985,0.44990506
A_or_B,label,builder,21,0,0.0,0.249409,0.015034,4.137741,0.33253853,0.44990506
A_or_B,label,other,66,7,10.606,1.383956,0.635561,3.013613,0.41311415,0.50008555
A_or_B,label,data-availability-sampling,33,1,3.03,0.494897,0.095493,2.564821,0.40205866,0.50008555
A_or_B,label,rpc,113,7,6.195,0.750448,0.35106,1.604205,0.45890156,0.52773679
A_or_B,label,evm,31,3,9.677,1.337734,0.4353,4.111032,0.61146263,0.66969717
