id,source_platform,issue_id,title,description_excerpt,source_url,authority_tier,severity,severity_source,label,root_cause,attack_path,suggested_scope,suggestion_reason,reviewed_scope,review_notes
fc384bdaf55405d0,besu,CHANGELOG#0110cf31c9992da7,Fix CVE-2024-47535 [7878](https://github.com/hyperledger/besu/pull/7878),### Bug fixes - Fix registering new metric categories from plugins [#7825](https://github.com/hyperledger/besu/pull/7825) - Fix CVE-2024-47535 [7878](https://github.com/hyperledger/besu/pull/7878) - Fix QBFT prepared block based proposal validation [#7875](https://github.com/hyperledger/besu/pull/7875) - Correct default parameters for frontier transactions in `eth_call` and `eth_estimateGas` [#7965](https://github.com/hyperledger/besu/pull/7965) - Correctly parse nonce as hex in `eth_call` accou,https://github.com/hyperledger/besu/blob/main/CHANGELOG.md#L1045,A_authoritative,Info,upstream-cvss,transactions,missing_input_validation,malformed_input,client_implementation,client product named in title/description,,
8eb93dca323eea76,besu,CVE-2021-21369,CVE-2021-21369,"Hyperledger Besu is an open-source, MainNet compatible, Ethereum client written in Java. In Besu before version 1.5.1 there is a denial-of-service vulnerability involving the HTTP JSON-RPC API service. If username and password authentication is enabled for the HTTP JSON-RPC API service, then prior to making any requests to an API endpoint the requestor must use the login endpoint to obtain a JSON web token (JWT) using their credentials. A single user can readily overload the login endpoint with ",https://nvd.nist.gov/vuln/detail/CVE-2021-21369,A_authoritative,Medium,upstream-cvss,rpc,resource_exhaustion,malformed_input,client_implementation,client product named in title/description,,
2b3def4a540f08df,besu,CVE-2021-41272,CVE-2021-41272,"Besu is an Ethereum client written in Java. Starting in version 21.10.0, changes in the implementation of the SHL, SHR, and SAR operations resulted in the introduction of a signed type coercion error in values that represent negative values for 32 bit signed integers. Smart contracts that ask for shifts between approximately 2 billion and 4 billion bits (nonsensical but valid values for the operation) will fail to execute and hence fail to validate. In networks where vulnerable versions are mini",https://nvd.nist.gov/vuln/detail/CVE-2021-41272,A_authoritative,High,upstream-cvss,opcodes,consensus_divergence,malicious_tx,client_implementation,client product named in title/description,,
e9e9bc9f0e5c5042,besu,CVE-2022-36025,CVE-2022-36025,"Besu is a Java-based Ethereum client. In versions newer than 22.1.3 and prior to 22.7.1, Besu is subject to an Incorrect Conversion between Numeric Types. An error in 32 bit signed and unsigned types in the calculation of available gas in the CALL operations (including DELEGATECALL) results in incorrect gas being passed into called contracts and incorrect gas being returned after call execution. Where the amount of gas makes a difference in the success or failure, or if the gas is a negative 64 ",https://nvd.nist.gov/vuln/detail/CVE-2022-36025,A_authoritative,High,upstream-cvss,gas,integer_overflow_underflow,malicious_tx,client_implementation,client product named in title/description,,
269366808285e00c,besu,CVE-2025-30147,CVE-2025-30147,"Besu Native contains scripts and tooling that is used to build and package the native libraries used by the Ethereum client Hyperledger Besu. Besu 24.7.1 through 25.2.2, corresponding to besu-native versions 0.9.0 through 1.2.1, have a potential consensus bug for the precompiles ALTBN128_ADD (0x06), ALTBN128_MUL (0x07), and ALTBN128_PAIRING (0x08). These precompiles were reimplemented in besu-native using gnark-crypto's bn254 implementation, as the former implementation used a library which was ",https://nvd.nist.gov/vuln/detail/CVE-2025-30147,A_authoritative,Info,upstream-cvss,precompiles,missing_input_validation,malicious_tx,client_implementation,client product named in title/description,,
besu:ghsa-advisory:GHSA-4456-w38r-m53x,besu,GHSA-4456-w38r-m53x,Gas allocation error in CALL operations in Besu EVM [GHSA-4456-w38r-m53x CVE-2022-36025],"### Impact An error in 32 bit signed and unsigned types in the calculation of available gas in the CALL operations (including DELEGATECALL) results in incorrect gas being passed into called contracts and incorrect gas being returned after call execution. Where the amount of gas makes a difference in the success or failure, or if the gas is a negative 64 bit value, the execution will result in a different state root than expected, resulting in a consensus failure in networks with multiple EVM imp",https://github.com/besu-eth/besu/security/advisories/GHSA-4456-w38r-m53x,A_authoritative,Critical,bounty-graded,gas,integer_overflow_underflow,malicious_tx,client_implementation,client product named in title/description,,
besu:hyperledger-besu:GHSA-7pg2-p5vj-xp5h,besu,GHSA-7pg2-p5vj-xp5h,"SHL, SHR, and SAR operations trigger native exception at key values","### Impact Changes in the implementation of the SHL, SHR, and SAR operations resulted in the introduction of a signed type coercion error in values that represent negative values for 32 bit signed integers. Smart contracts that ask for shifts between approximately 2 billion and 4 billion bits (nonsensical but valid values for the operation) will fail to execute and hence fail to validate. * In networks where vulnerable versions are mining with other clients or non-vulnerable versions this will r",https://github.com/besu-eth/besu/security/advisories/GHSA-7pg2-p5vj-xp5h,A_authoritative,High,bounty-graded,evm,missing_input_validation,malformed_input,client_implementation,client product named in title/description,,
besu:hyperledger-besu:GHSA-qgfj-mjpc-7w3q,besu,GHSA-qgfj-mjpc-7w3q,Potential DoS in Besu HTTP JSON-RPC API,"### Report I believe I've identified a vulnerability in Hyperledegr Besu where its possible to cause an interruption/denial of service for the HTTP JSON-RPC API service (Potential to also impact websocket service) If username and password authentication is enabled for the HTTP JSON-RPC API service, then prior to making any requests to an API endpoint the requestor must use the login endpoint to obtain a JSON web token (JWT) using their credentials. A single user can readily overload the login en",https://github.com/besu-eth/besu/security/advisories/GHSA-qgfj-mjpc-7w3q,A_authoritative,Low,bounty-graded,rpc,resource_exhaustion,malformed_input,client_implementation,client product named in title/description,,
c4abc462e912553e,erigon,COMMIT#082358afbc39,[SharovBot] deps: bump erigontech/secp256k1 with IsOnCurve coordinate validation fix (#19290),**[SharovBot]** ## Summary Bumps `erigontech/secp256k1` to include defense-in-depth fix for CVE-2026-26313 / CVE-2026-26314 from the geth v1.16.9 security release. ### What changed in secp256k1 - **`IsOnCurve`**: Reject coordinates `>= P` and negative values (previously silently reduced mod P) - **`ext.h`**: Use `secp256k1_fe_set_b32_limit` instead of `secp256k1_fe_set_b32_mod` to reject field element overflows at C level See upstream fix: erigontech/secp256k1#7 ### Context - The critical ECIES ,https://github.com/erigontech/erigon/commit/082358afbc39f968f4f02ff347df45cb53fda187,A_authoritative,Info,upstream-cvss,crypto,integer_overflow_underflow,malformed_input,client_implementation,client product named in title/description,,
d9d15b02a9ffb53b,erigon,COMMIT#97e94f6d2ce6,build(deps): bump github.com/consensys/gnark-crypto from 0.12.0 to 0.12.1 in /erigon-lib (#8680),"Bumps [github.com/consensys/gnark-crypto](https://github.com/consensys/gnark-crypto) from 0.12.0 to 0.12.1. <details> <summary>Release notes</summary> <p><em>Sourced from <a href=""https://github.com/consensys/gnark-crypto/releases"">github.com/consensys/gnark-crypto's releases</a>.</em></p> <blockquote> <h2>v0.12.1</h2> <h2>What's Changed</h2> <ul> <li>fix: GLV exponentiation in GT with large exponents by <a href=""https://github.com/ThomasPiellard""><code>@​ThomasPiellard</code></a> in <a href=""ht",https://github.com/erigontech/erigon/commit/97e94f6d2ce6aa1dd4c22aa42c01fc76288b1b90,A_authoritative,Info,upstream-cvss,crypto,crypto_misuse,large_input,client_implementation,client product named in title/description,,
