id,client,layer,impact_type,blast_radius,reachability,severity_estimated,severity_analysis_label,client_conditional_reach,affected_share_low,affected_share_high,spec_level_client_set,client_specific_min_reach_for_high_at_share_high,client_specific_min_reach_for_high_at_share_low,client_specific_high_feasible,high_verdict,medium_verdict
511d306991f1f534,erigon,execution,chain_split,spec_level,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,1.0,no_client_set_enumerated,1.65,3.3,False,share_dependent,share_dependent
2ea9db0643f8dedc,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
4830cc6fb225c6e9,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
506b2e76b64fe2c6,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
52a5bdbc45335d58,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
5a3a43e849df6028,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
61ef89e2ab534b32,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
68c6fd5ad6068940,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
76a0220550bc0219,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
78dc88cabdf32dd2,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
7dce34f9c4b9981e,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
83cccb979a249f1e,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
956db92119294822,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
971ef37281f9fe0d,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
9dceecc674483c76,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
bad60eea57269a6f,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
c9009154ce692582,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
d0578666c1aa52dd,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
e3d937838aebd040,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
e4eecf24a4501ff6,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
e84e13f52af9dacd,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
ea018c4d04c6a290,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
f2c52d056567b78e,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#195,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#19579,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#20013,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#20948,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#23955,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#26652,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#27945,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#29107,geth,execution,liveness_dos,client_specific,remote_single_message_or_tx,High,tier-uncertain,unknown,0.0,0.55,fixing_client_only,0.6,0.7333,True,share_dependent,share_dependent
