measure,value
clients_in_share_table,11
clients_where_client_specific_high_is_feasible,3
clients_where_client_specific_high_is_arithmetically_excluded,8
clients_where_client_specific_medium_is_arithmetically_excluded,0
tier_uncertain_candidates,110
candidates_client_specific,55
candidates_spec_level,55
client_specific_candidates_needing_reach_above_50pct_at_share_high,55
client_specific_candidates_infeasible_at_share_low,21
candidates_with_assessed_client_conditional_reach,0
high_excluded_arithmetically,0
high_share_dependent,110
high_supported_at_any_plausible_share,0
