id,openai:glm-5.2,claude:claude-sonnet-5
geth:ethereum-go-ethereum:PR#22575,supported,supported
geth:ethereum-go-ethereum:PR#23955,share_dependent,supported
geth:ethereum-go-ethereum:PR#33968,excluded,share_dependent
geth:ethereum-go-ethereum:PR#33647,supported,excluded
geth:ethereum-go-ethereum:PR#30430,supported,supported
geth:ethereum-go-ethereum:PR#30414,supported,excluded
geth:ethereum-go-ethereum:PR#29107,excluded,excluded
geth:ethereum-go-ethereum:PR#28361,excluded,excluded
geth:ethereum-go-ethereum:PR#26652,supported,share_dependent
geth:ethereum-go-ethereum:PR#24946,supported,excluded
geth:ethereum-go-ethereum:PR#23047,excluded,excluded
geth:ethereum-go-ethereum:PR#20948,supported,share_dependent
geth:ethereum-go-ethereum:PR#20013,share_dependent,excluded
geth:ethereum-go-ethereum:PR#3591,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#954,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#195,supported,supported
geth:ethereum-go-ethereum:PR#35140,excluded,excluded
geth:ethereum-go-ethereum:PR#19579,supported,supported
geth:ethereum-go-ethereum:PR#3738,supported,supported
ea018c4d04c6a290,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#22540,supported,supported
lighthouse:sigp-lighthouse:PR#8065,share_dependent,share_dependent
6fad56ffd2f16be8,excluded,excluded
28ac46bcf09773cf,share_dependent,share_dependent
lighthouse:sigp-lighthouse:ISSUE#1773,share_dependent,share_dependent
lighthouse:sigp-lighthouse:ISSUE#891,share_dependent,share_dependent
lighthouse:sigp-lighthouse:ISSUE#800,share_dependent,share_dependent
lighthouse:networking:PR#9321,excluded,excluded
lighthouse:networking:PR#9233,excluded,excluded
lighthouse:networking:PR#9177,share_dependent,excluded
lighthouse:networking:PR#9141,excluded,excluded
lighthouse:networking:PR#9090,share_dependent,share_dependent
lighthouse:networking:PR#8496,share_dependent,share_dependent
lighthouse:networking:PR#7957,share_dependent,excluded
lighthouse:networking:PR#6940,share_dependent,excluded
lighthouse:networking:PR#6211,excluded,excluded
lighthouse:networking:PR#5772,excluded,excluded
lighthouse:networking:PR#5764,excluded,share_dependent
lighthouse:networking:PR#5569,excluded,excluded
lighthouse:networking:PR#5104,excluded,excluded
lighthouse:networking:PR#5057,share_dependent,excluded
lighthouse:networking:PR#5037,share_dependent,excluded
lighthouse:networking:PR#4879,excluded,excluded
lighthouse:networking:PR#4877,excluded,excluded
lighthouse:networking:PR#4652,excluded,excluded
lighthouse:networking:PR#3845,share_dependent,share_dependent
lighthouse:networking:PR#3749,excluded,excluded
lighthouse:networking:PR#1241,excluded,excluded
lighthouse:networking:PR#1009,share_dependent,share_dependent
lighthouse:networking:PR#977,share_dependent,share_dependent
lighthouse:networking:PR#974,share_dependent,share_dependent
lighthouse:networking:PR#832,share_dependent,share_dependent
lighthouse:networking:PR#759,share_dependent,share_dependent
lighthouse:networking:PR#640,share_dependent,share_dependent
lighthouse:networking:PR#457,share_dependent,share_dependent
lighthouse:networking:PR#249,share_dependent,share_dependent
lighthouse:networking:PR#60,share_dependent,share_dependent
prysm:prysmaticlabs-prysm:ISSUE#9098,share_dependent,share_dependent
511d306991f1f534,excluded,excluded
7dce34f9c4b9981e,supported,supported
83cccb979a249f1e,supported,supported
52a5bdbc45335d58,supported,supported
76a0220550bc0219,share_dependent,share_dependent
d0578666c1aa52dd,excluded,excluded
dfd772660d2f7eb3,excluded,excluded
e3d937838aebd040,excluded,excluded
2c3bbe2fa018f083,supported,share_dependent
9d281cd7385d8958,excluded,excluded
956db92119294822,supported,supported
5106a70e2cbfc8ad,supported,excluded
6e4047afe19e1248,share_dependent,share_dependent
78dc88cabdf32dd2,supported,excluded
61ef89e2ab534b32,supported,supported
e84e13f52af9dacd,supported,supported
ab4b3b42313daaa5,supported,excluded
204dd28eca18ee54,supported,supported
02b6b0457e294628,supported,supported
2ea9db0643f8dedc,excluded,excluded
bad60eea57269a6f,excluded,share_dependent
fef6b529d2c24653,supported,supported
9dceecc674483c76,excluded,excluded
6fb978f0fdf9b0f0,excluded,excluded
97c9bce9f70dd28d,excluded,excluded
cd61542cfa31ee40,share_dependent,share_dependent
eceadd9c7892558a,supported,supported
79a5734dcb98024d,supported,excluded
5a3a43e849df6028,excluded,excluded
e4eecf24a4501ff6,supported,supported
08c1cedc48562681,supported,supported
f2c52d056567b78e,supported,supported
b1c9a13d15ccd608,supported,supported
971ef37281f9fe0d,share_dependent,share_dependent
506b2e76b64fe2c6,supported,supported
4830cc6fb225c6e9,supported,share_dependent
68c6fd5ad6068940,supported,share_dependent
c9009154ce692582,share_dependent,share_dependent
04f6081f4baf8513,excluded,excluded
62e8f286767d785e,share_dependent,share_dependent
6e000de29c273ad5,excluded,share_dependent
6d9fbd6b0a3f9fd4,share_dependent,excluded
515c294fa3befb46,share_dependent,excluded
92b4e4c954468852,share_dependent,share_dependent
aed8c4e25070865f,share_dependent,share_dependent
06ac04f6fc25dd28,share_dependent,excluded
d985fecc6f7d7397,share_dependent,excluded
06be7dc4c1ffb782,share_dependent,share_dependent
441cd590285ea8e0,share_dependent,excluded
391aaf2d387612fd,share_dependent,share_dependent
3d74c0f53be49bec,share_dependent,share_dependent
geth:ethereum-go-ethereum:PR#27945,,supported
