client,commits,earliest,latest,in_curated_corpus,corpus_coverage_pct
erigon,112240,2013-12-26,2026-07-02,437,0.389
reth,93360,2022-09-19,2026-07-02,177,0.19
prysm,85061,2013-12-26,2026-07-02,78,0.092
nethermind,68131,1970-01-01,2026-07-02,106,0.156
geth,65678,2013-12-19,2026-07-02,356,0.542
teku,45593,2018-09-07,2026-07-02,58,0.127
besu,44033,2018-10-09,2026-07-02,57,0.129
lighthouse,38831,2018-07-06,2026-07-02,173,0.446
lodestar,32639,2018-06-22,2026-07-01,207,0.634
nimbus,25142,2018-07-20,2026-07-02,237,0.943
grandine,3112,2021-06-30,2026-07-01,18,0.578
