layer,label,root_cause,surface,surface_narrow,records,clients,spans_multiple_clients,client_list
consensus,validator,missing_input_validation,spec_anchored,client_local,75,5,True,lighthouse;lodestar;nimbus;prysm;teku
consensus,beacon-chain:attestation,missing_input_validation,spec_anchored,spec_anchored,70,5,True,lighthouse;lodestar;nimbus;prysm;teku
consensus,other,other,unclassified,unclassified,64,5,True,lighthouse;lodestar;nimbus;prysm;teku
execution,state-trie,improper_state_update,spec_anchored,spec_anchored,47,5,True,besu;erigon;geth;nethermind;reth
consensus,p2p-interface,missing_input_validation,spec_anchored,client_local,44,5,True,lighthouse;lodestar;nimbus;prysm;teku
execution,state-trie,resource_exhaustion,spec_anchored,spec_anchored,43,5,True,besu;erigon;geth;nethermind;reth
consensus,p2p-interface,resource_exhaustion,spec_anchored,client_local,40,6,True,grandine;lighthouse;lodestar;nimbus;prysm;teku
consensus,build-ci,other,client_local,client_local,37,4,True,grandine;lighthouse;lodestar;teku
execution,sync,resource_exhaustion,client_local,client_local,37,4,True,erigon;geth;nethermind;reth
execution,rpc,resource_exhaustion,client_local,client_local,36,5,True,besu;erigon;geth;nethermind;reth
consensus,fork-choice,missing_input_validation,spec_anchored,spec_anchored,35,6,True,grandine;lighthouse;lodestar;nimbus;prysm;teku
execution,sync,race_condition,client_local,client_local,33,4,True,besu;erigon;geth;nethermind
consensus,fork-choice,consensus_divergence,spec_anchored,spec_anchored,29,4,True,grandine;lighthouse;lodestar;nimbus
execution,state-trie,race_condition,spec_anchored,spec_anchored,28,5,True,besu;erigon;geth;nethermind;reth
execution,other,other,unclassified,unclassified,25,5,True,besu;erigon;geth;nethermind;reth
execution,p2p,resource_exhaustion,client_local,client_local,25,5,True,besu;erigon;geth;nethermind;reth
execution,rpc,unhandled_error_or_nil,client_local,client_local,25,4,True,besu;erigon;geth;reth
execution,state-trie,unhandled_error_or_nil,spec_anchored,spec_anchored,25,4,True,besu;erigon;geth;reth
consensus,p2p-interface,other,spec_anchored,client_local,23,3,True,lighthouse;lodestar;nimbus
execution,sync,unhandled_error_or_nil,client_local,client_local,22,4,True,besu;erigon;geth;nethermind
execution,rpc,missing_input_validation,client_local,client_local,21,5,True,besu;erigon;geth;nethermind;reth
execution,build-ci,other,client_local,client_local,20,4,True,besu;erigon;geth;reth
execution,state-trie,consensus_divergence,spec_anchored,spec_anchored,19,4,True,besu;erigon;geth;reth
consensus,builder,missing_input_validation,client_local,client_local,18,6,True,grandine;lighthouse;lodestar;nimbus;prysm;teku
execution,transactions,missing_input_validation,spec_anchored,spec_anchored,18,5,True,besu;erigon;geth;nethermind;reth
consensus,p2p-interface,consensus_divergence,spec_anchored,client_local,18,4,True,lighthouse;lodestar;nimbus;prysm
execution,transactions,race_condition,spec_anchored,spec_anchored,17,5,True,besu;erigon;geth;nethermind;reth
execution,txpool,resource_exhaustion,client_local,client_local,17,5,True,besu;erigon;geth;nethermind;reth
consensus,p2p-interface,unhandled_error_or_nil,spec_anchored,client_local,17,4,True,lodestar;nimbus;prysm;teku
execution,transactions,resource_exhaustion,spec_anchored,spec_anchored,17,4,True,besu;erigon;geth;reth
execution,other,unhandled_error_or_nil,unclassified,unclassified,17,3,True,erigon;geth;reth
execution,test,race_condition,client_local,client_local,17,3,True,erigon;geth;reth
consensus,beacon-chain:block-processing,consensus_divergence,spec_anchored,spec_anchored,16,2,True,lighthouse;nimbus
consensus,data-availability-sampling,missing_input_validation,spec_anchored,client_local,15,4,True,lighthouse;lodestar;nimbus;prysm
execution,p2p,unhandled_error_or_nil,client_local,client_local,15,2,True,erigon;geth
consensus,beacon-chain:sync-committee,missing_input_validation,spec_anchored,client_local,14,5,True,grandine;lighthouse;lodestar;nimbus;teku
execution,sync,missing_input_validation,client_local,client_local,14,5,True,besu;erigon;geth;nethermind;reth
consensus,beacon-chain:block-processing,missing_input_validation,spec_anchored,spec_anchored,14,4,True,lighthouse;lodestar;nimbus;prysm
consensus,p2p-interface,race_condition,spec_anchored,client_local,14,4,True,lighthouse;lodestar;nimbus;prysm
