anchor,records,clients,client_list,labels,kind
fork:electra,16,7,erigon;grandine;lighthouse;lodestar;nimbus;prysm;teku,beacon-chain:attestation;beacon-chain:block-processing;beacon-chain:deposit;beacon-chain:execution-payload;beacon-chain:registry-updates;beacon-chain:sync-committee;beacon-chain:withdrawal;builder;fork-choice;sync;validator,fork
fork:fulu,14,7,besu;erigon;lighthouse;lodestar;nimbus;prysm;teku,beacon-chain:attestation;beacon-chain:block-processing;beacon-chain:justification-and-finality;builder;data-availability-sampling;engine-api;fork-choice;kzg-commitments;p2p-interface;validator,fork
fork:merge,26,6,erigon;lighthouse;lodestar;nethermind;nimbus;teku,beacon-chain:block-processing;beacon-chain:execution-payload;data-availability-sampling;deposit-contract;engine-api;fork-choice;fork-transition;p2p-interface;sync;test,fork
fork:deneb,11,5,erigon;lighthouse;lodestar;nimbus;teku,beacon-chain:execution-payload;build-ci;builder;kzg-commitments;p2p;p2p-interface;validator,fork
fork:altair,12,4,lighthouse;lodestar;nimbus;teku,beacon-chain:attestation;beacon-chain:rewards-and-penalties;beacon-chain:sync-committee;fork-choice;light-client;other;p2p-interface;weak-subjectivity,fork
consensus_fn:get_head,6,4,erigon;lighthouse;lodestar;nimbus,builder;fork-choice;sync,consensus_fn
eip:4844,5,4,erigon;geth;lighthouse;reth,blobs;kzg-commitments;txpool,eip
fork:capella,8,3,lighthouse;nimbus;prysm,beacon-chain:execution-payload;beacon-chain:sync-committee;fork-choice;kzg-commitments;light-client;p2p-interface,fork
consensus_fn:process_attestation,4,3,lighthouse;lodestar;nimbus,beacon-chain:attestation;fork-choice,consensus_fn
consensus_fn:process_inactivity_updates,4,3,lighthouse;lodestar;nimbus,beacon-chain:attestation;beacon-chain:rewards-and-penalties;beacon-chain:sync-committee;fork-choice,consensus_fn
consensus_fn:process_rewards_and_penalties,4,3,lighthouse;lodestar;nimbus,beacon-chain:attestation;beacon-chain:sync-committee;fork-choice,consensus_fn
consensus_fn:on_block,3,3,erigon;lodestar;teku,fork-choice;p2p,consensus_fn
consensus_fn:process_epoch,3,3,lighthouse;lodestar;nimbus,beacon-chain:attestation;beacon-chain:deposit;beacon-chain:sync-committee,consensus_fn
consensus_fn:process_registry_updates,3,3,grandine;lighthouse;lodestar,beacon-chain:registry-updates;beacon-chain:sync-committee,consensus_fn
eip:1559,3,3,erigon;geth;reth,blobs;gas;rpc,eip
eip:7732,3,3,lodestar;nimbus;teku,builder;data-availability-sampling;kzg-commitments,eip
fork:prague,3,3,geth;nethermind;nimbus,evm;transactions;validator,fork
fork:kiln,4,2,lodestar;nimbus,beacon-chain:execution-payload;fork-choice;p2p-interface,fork
opcode:delegatecall,4,2,besu;nethermind,evm;gas;precompiles,opcode
consensus_fn:process_block,3,2,lodestar;nimbus,beacon-chain:execution-payload;builder;fork-choice,consensus_fn
eip:7928,3,2,besu;erigon,gas;state-trie;transactions,eip
fork:osaka,3,2,besu;geth,blobs;build-ci,fork
fork:pectra,3,2,lighthouse;nethermind,beacon-chain:sync-committee;builder;rpc,fork
fork:shanghai,3,2,geth;nethermind,opcodes;state-trie;sync,fork
opcode:shr,3,2,besu;erigon,evm;opcodes,opcode
consensus_fn:get_beacon_proposer_index,2,2,lighthouse;nimbus,fork-choice;p2p-interface,consensus_fn
consensus_fn:get_pending_balance_to_withdraw,2,2,lodestar;teku,builder;kzg-commitments,consensus_fn
consensus_fn:get_total_active_balance,2,2,lighthouse;lodestar,beacon-chain:attestation;beacon-chain:effective-balance-updates,consensus_fn
consensus_fn:on_attestation,2,2,erigon;nimbus,fork-choice;state-trie,consensus_fn
eip:7521,2,2,lighthouse;prysm,beacon-chain:attestation;beacon-chain:sync-committee,eip
eip:8,2,2,besu;nethermind,sync;transactions,eip
eip:8025,2,2,consensus-specs;lodestar,beacon-chain:justification-and-finality;sync,eip
eip:8037,2,2,besu;erigon,engine-api;gas,eip
fork:kintsugi,2,2,geth;lodestar,fork-choice;rpc,fork
opcode:create2,2,2,besu;geth,precompiles;transactions,opcode
fork:constantinople,3,1,geth,evm;p2p;transactions,fork
consensus_fn:process_execution_payload,2,1,lodestar,data-availability-sampling,consensus_fn
consensus_fn:process_justification_and_finalization,2,1,lighthouse,beacon-chain:attestation;beacon-chain:sync-committee,consensus_fn
fork:london,2,1,geth,opcodes;txpool,fork
opcode:returndatacopy,2,1,geth,precompiles,opcode
opcode:sar,2,1,besu,evm;opcodes,opcode
opcode:shl,2,1,besu,evm;opcodes,opcode
consensus_fn:compute_start_slot_at_epoch,1,1,nimbus,validator,consensus_fn
consensus_fn:get_ancestor,1,1,teku,fork-choice,consensus_fn
consensus_fn:get_attesting_indices,1,1,nimbus,weak-subjectivity,consensus_fn
consensus_fn:get_block_root_at_slot,1,1,lodestar,database,consensus_fn
consensus_fn:get_total_balance,1,1,lodestar,beacon-chain:attestation,consensus_fn
consensus_fn:is_aggregator,1,1,lodestar,beacon-chain:attestation,consensus_fn
consensus_fn:is_merge_transition_block,1,1,lighthouse,fork-choice,consensus_fn
consensus_fn:is_merge_transition_complete,1,1,lighthouse,fork-choice,consensus_fn
consensus_fn:is_optimistic_candidate_block,1,1,nimbus,light-client,consensus_fn
consensus_fn:on_tick,1,1,teku,fork-choice,consensus_fn
consensus_fn:process_consolidation_request,1,1,lodestar,beacon-chain:withdrawal,consensus_fn
consensus_fn:process_effective_balance_updates,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_eth1_data_reset,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_operations,1,1,grandine,beacon-chain:deposit,consensus_fn
consensus_fn:process_participation_flag_updates,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_pending_consolidations,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_pending_deposits,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_randao_mixes_reset,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_slashings,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_slashings_reset,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_slots,1,1,nimbus,weak-subjectivity,consensus_fn
consensus_fn:process_sync_aggregate,1,1,lodestar,beacon-chain:sync-committee,consensus_fn
consensus_fn:process_sync_committee_updates,1,1,lighthouse,beacon-chain:sync-committee,consensus_fn
eip:1186,1,1,reth,rpc,eip
eip:150,1,1,besu,precompiles,eip
eip:155,1,1,nethermind,evm,eip
eip:2335,1,1,lighthouse,validator,eip
eip:2681,1,1,erigon,evm,eip
eip:2929,1,1,besu,p2p,eip
eip:3076,1,1,nimbus,beacon-chain:attestation,eip
eip:3860,1,1,nethermind,evm,eip
eip:4339,1,1,lodestar,fork-choice,eip
eip:55,1,1,nethermind,rpc,eip
eip:712,1,1,geth,sync,eip
eip:7251,1,1,lighthouse,beacon-chain:sync-committee,eip
eip:7702,1,1,erigon,txpool,eip
eip:7917,1,1,lodestar,fork-choice,eip
eip:7951,1,1,besu,precompiles,eip
eip:7975,1,1,erigon,txpool,eip
eip:8024,1,1,erigon,gas,eip
eip:8045,1,1,lighthouse,builder,eip
fork:bellatrix,1,1,nimbus,beacon-chain:rewards-and-penalties,fork
fork:berlin,1,1,besu,evm,fork
fork:byzantium,1,1,geth,evm,fork
fork:homestead,1,1,geth,transactions,fork
opcode:extcodecopy,1,1,besu,precompiles,opcode
opcode:mulmod,1,1,geth,opcodes,opcode
opcode:selfdestruct,1,1,besu,precompiles,opcode
opcode:sload,1,1,nethermind,sync,opcode
