population,metric,rows,denominator,percent
all_snapshot,cwe_known,396,2225,17.798
all_snapshot,cwe_2025_top25,130,2225,5.843
all_snapshot,root_cause_known,1925,2225,86.517
all_snapshot,protocol_label_known,2078,2225,93.393
all_snapshot,no_cwe_but_root_cause_known,1544,1829,84.418
all_snapshot,no_cwe_but_protocol_label_known,1745,1829,95.407
all_snapshot,no_cwe_but_both_context_axes_known,1541,1829,84.254
authority_A_or_B,cwe_known,307,1808,16.98
authority_A_or_B,cwe_2025_top25,104,1808,5.752
authority_A_or_B,root_cause_known,1628,1808,90.044
authority_A_or_B,protocol_label_known,1742,1808,96.35
authority_A_or_B,no_cwe_but_root_cause_known,1327,1501,88.408
authority_A_or_B,no_cwe_but_protocol_label_known,1476,1501,98.334
authority_A_or_B,no_cwe_but_both_context_axes_known,1325,1501,88.274
bounty_graded,cwe_known,8,60,13.333
bounty_graded,cwe_2025_top25,3,60,5.0
bounty_graded,root_cause_known,47,60,78.333
bounty_graded,protocol_label_known,55,60,91.667
bounty_graded,no_cwe_but_root_cause_known,39,52,75.0
bounty_graded,no_cwe_but_protocol_label_known,49,52,94.231
bounty_graded,no_cwe_but_both_context_axes_known,39,52,75.0
confirmed_bounty_critical_or_high,cwe_known,3,18,16.667
confirmed_bounty_critical_or_high,cwe_2025_top25,0,18,0.0
confirmed_bounty_critical_or_high,root_cause_known,17,18,94.444
confirmed_bounty_critical_or_high,protocol_label_known,17,18,94.444
confirmed_bounty_critical_or_high,no_cwe_but_root_cause_known,14,15,93.333
confirmed_bounty_critical_or_high,no_cwe_but_protocol_label_known,15,15,100.0
confirmed_bounty_critical_or_high,no_cwe_but_both_context_axes_known,14,15,93.333
llm_estimated,cwe_known,186,1552,11.985
llm_estimated,cwe_2025_top25,68,1552,4.381
llm_estimated,root_cause_known,1411,1552,90.915
llm_estimated,protocol_label_known,1490,1552,96.005
llm_estimated,no_cwe_but_root_cause_known,1232,1366,90.19
llm_estimated,no_cwe_but_protocol_label_known,1341,1366,98.17
llm_estimated,no_cwe_but_both_context_axes_known,1230,1366,90.044
