cwe,count,percent_of_cwe_known,in_2025_top25
CWE-248,60,15.152,False
CWE-20,50,12.626,True
CWE-362,48,12.121,False
CWE-400,42,10.606,False
CWE-476,33,8.333,True
CWE-190,22,5.556,False
CWE-770,22,5.556,True
CWE-401,20,5.051,False
CWE-125,13,3.283,True
CWE-667,6,1.515,False
CWE-287,6,1.515,False
CWE-119,5,1.263,False
CWE-327,4,1.01,False
CWE-772,4,1.01,False
CWE-674,4,1.01,False
CWE-1284,3,0.758,False
CWE-284,3,0.758,True
CWE-502,3,0.758,True
CWE-191,3,0.758,False
CWE-703,2,0.505,False
CWE-704,2,0.505,False
CWE-22,2,0.505,True
CWE-24,2,0.505,False
CWE-833,2,0.505,False
CWE-129,2,0.505,False
CWE-285,2,0.505,False
CWE-787,1,0.253,True
CWE-778,1,0.253,False
CWE-662,1,0.253,False
CWE-439,1,0.253,False
CWE-762,1,0.253,False
CWE-1395,1,0.253,False
CWE-436,1,0.253,False
CWE-449,1,0.253,False
CWE-323,1,0.253,False
CWE-250,1,0.253,False
CWE-116,1,0.253,False
CWE-789,1,0.253,False
CWE-437,1,0.253,False
CWE-295,1,0.253,False
CWE-494,1,0.253,False
CWE-672,1,0.253,False
CWE-838,1,0.253,False
CWE-369,1,0.253,False
CWE-276,1,0.253,False
CWE-214,1,0.253,False
CWE-366,1,0.253,False
CWE-200,1,0.253,True
CWE-788,1,0.253,False
CWE-396,1,0.253,False
CWE-754,1,0.253,False
CWE-682,1,0.253,False
CWE-193,1,0.253,False
CWE-306,1,0.253,True
CWE-404,1,0.253,False
CWE-1104,1,0.253,False
CWE-416,1,0.253,True
