root_cause,rows,cwe_known_rows,cwe_known_percent,cwe_2025_top25_rows,cwe_2025_top25_percent,distinct_cwe_labels
missing_input_validation,522,61,11.686,47,9.004,13
resource_exhaustion,340,91,26.765,21,6.176,6
other,300,15,5.0,4,1.333,14
race_condition,217,58,26.728,1,0.461,7
unhandled_error_or_nil,208,110,52.885,39,18.75,14
integer_overflow_underflow,185,24,12.973,0,0.0,2
consensus_divergence,174,2,1.149,1,0.575,2
improper_state_update,90,6,6.667,1,1.111,6
missing_bounds_check,90,22,24.444,15,16.667,7
incorrect_gas_accounting,48,0,0.0,0,0.0,0
crypto_misuse,31,6,19.355,1,3.226,3
serialization_bug,19,0,0.0,0,0.0,0
reentrancy,1,1,100.0,0,0.0,1
