cwe,rows,in_2025_top25,distinct_root_causes,distinct_protocol_labels,leading_root_cause,leading_root_cause_rows
CWE-248,60,False,2,16,unhandled_error_or_nil,59
CWE-20,50,True,4,12,missing_input_validation,39
CWE-362,48,False,1,14,race_condition,48
CWE-400,42,False,2,12,resource_exhaustion,41
CWE-476,33,True,3,10,unhandled_error_or_nil,29
CWE-190,22,False,1,12,integer_overflow_underflow,22
CWE-770,22,True,2,9,resource_exhaustion,21
CWE-401,20,False,1,7,resource_exhaustion,20
CWE-125,13,True,1,6,missing_bounds_check,13
CWE-287,6,False,2,3,missing_input_validation,5
CWE-667,6,False,3,5,race_condition,4
CWE-119,5,False,3,3,missing_bounds_check,3
CWE-327,4,False,1,2,crypto_misuse,4
CWE-674,4,False,1,4,resource_exhaustion,4
CWE-772,4,False,1,3,resource_exhaustion,4
CWE-1284,3,False,2,3,missing_input_validation,2
CWE-191,3,False,2,3,integer_overflow_underflow,2
CWE-284,3,True,2,3,other,2
CWE-502,3,True,2,1,missing_input_validation,2
CWE-129,2,False,1,2,missing_bounds_check,2
CWE-22,2,True,1,1,missing_input_validation,2
CWE-24,2,False,1,1,unhandled_error_or_nil,2
CWE-285,2,False,1,2,missing_input_validation,2
CWE-703,2,False,1,2,unhandled_error_or_nil,2
CWE-704,2,False,2,2,unhandled_error_or_nil,1
CWE-833,2,False,1,2,race_condition,2
CWE-1104,1,False,1,1,other,1
CWE-116,1,False,1,1,missing_input_validation,1
CWE-1395,1,False,1,1,other,1
CWE-193,1,False,1,1,missing_bounds_check,1
CWE-200,1,True,1,1,other,1
CWE-214,1,False,1,1,other,1
CWE-250,1,False,1,1,other,1
CWE-276,1,False,1,1,missing_input_validation,1
CWE-295,1,False,1,1,missing_input_validation,1
CWE-306,1,True,1,1,missing_input_validation,1
CWE-323,1,False,1,1,crypto_misuse,1
CWE-366,1,False,1,1,race_condition,1
CWE-369,1,False,1,1,unhandled_error_or_nil,1
CWE-396,1,False,1,1,missing_input_validation,1
CWE-404,1,False,1,1,unhandled_error_or_nil,1
CWE-416,1,True,1,1,unhandled_error_or_nil,1
CWE-436,1,False,1,1,improper_state_update,1
CWE-437,1,False,1,1,improper_state_update,1
CWE-439,1,False,1,1,improper_state_update,1
CWE-449,1,False,1,1,resource_exhaustion,1
CWE-494,1,False,1,1,unhandled_error_or_nil,1
CWE-662,1,False,1,1,race_condition,1
CWE-672,1,False,1,1,reentrancy,1
CWE-682,1,False,1,1,other,1
CWE-754,1,False,1,1,unhandled_error_or_nil,1
CWE-762,1,False,1,1,improper_state_update,1
CWE-778,1,False,1,1,unhandled_error_or_nil,1
CWE-787,1,True,1,1,missing_bounds_check,1
CWE-788,1,False,1,1,other,1
CWE-789,1,False,1,1,other,1
CWE-838,1,False,1,1,unhandled_error_or_nil,1
