population,dimension,category,direct_advisory_rows,direct_advisory_denominator,direct_advisory_percent,no_id_rows,no_id_denominator,no_id_percent,odds_ratio,ci95_low,ci95_high,p_value,q_value_bh
A_only,attack_path,malformed_input,10,36,27.778,43,91,47.253,0.44177,0.193866,1.006678,0.051875991,0.051875991
A_only,layer,consensus,4,36,11.111,68,91,74.725,0.047501,0.015946,0.141499,4.4673878e-08,4.4673878e-08
A_only,layer,execution,32,36,88.889,23,91,25.275,21.052009,7.067185,62.710558,4.4673878e-08,4.4673878e-08
A_only,root_cause,other,2,36,5.556,23,91,25.275,0.211224,0.053857,0.828404,0.025747417,0.051494835
A_only,root_cause,missing_input_validation,9,36,25.0,35,91,38.462,0.549808,0.235303,1.284677,0.16713428,0.16713428
A_only,source_platform,geth,23,36,63.889,4,91,4.396,33.847737,10.610669,107.973333,2.6701909e-09,8.0105726e-09
A_only,source_platform,nimbus,0,36,0.0,28,91,30.769,0.030522,0.001809,0.514905,0.015501782,0.023252674
A_only,source_platform,lodestar,3,36,8.333,24,91,26.374,0.287846,0.087207,0.950107,0.04095303,0.04095303
A_or_B,attack_path,malicious_tx,9,36,25.0,16,1656,0.966,34.346556,14.207306,83.033752,4.0861745e-15,3.677557e-14
A_or_B,attack_path,malicious_p2p_message,10,36,27.778,194,1656,11.715,2.979337,1.435464,6.183681,0.0033864751,0.015239138
A_or_B,attack_path,malicious_block,3,36,8.333,46,1656,2.778,3.61852,1.158453,11.302738,0.026890054,0.080670163
A_or_B,attack_path,crafted_state,3,36,8.333,359,1656,21.679,0.377078,0.124616,1.141007,0.084259419,0.18958369
A_or_B,attack_path,malicious_attestation,0,36,0.0,150,1656,9.058,0.137123,0.008374,2.245497,0.16364954,0.24636115
A_or_B,attack_path,malformed_input,10,36,27.778,659,1656,39.795,0.599296,0.291282,1.233017,0.16424077,0.24636115
A_or_B,attack_path,peer,0,36,0.0,78,1656,4.71,0.275456,0.016751,4.52963,0.36677021,0.4715617
A_or_B,attack_path,internal_only,1,36,2.778,107,1656,6.461,0.60904,0.1175,3.156855,0.55474534,0.62408851
A_or_B,attack_path,large_input,0,36,0.0,38,1656,2.295,0.575876,0.034705,9.555906,0.70019067,0.70019067
A_or_B,label,p2p,7,36,19.444,54,1656,3.261,7.475509,3.208697,17.416179,3.1345389e-06,6.8959855e-05
A_or_B,label,evm,3,36,8.333,28,1656,1.691,5.969887,1.868395,19.074956,0.0025725829,0.028298412
A_or_B,label,block-processing,3,36,8.333,32,1656,1.932,5.222273,1.646159,16.567133,0.0050126318,0.0367593
A_or_B,label,state-trie,1,36,2.778,184,1656,11.111,0.337227,0.065353,1.74011,0.19416813,0.71194981
A_or_B,label,rpc,4,36,11.111,106,1656,6.401,2.015818,0.737727,5.508168,0.17165922,0.71194981
A_or_B,label,beacon-chain:slashing,1,36,2.778,22,1656,1.329,3.069484,0.568688,16.567484,0.19229383,0.71194981
A_or_B,label,beacon-chain:attestation,0,36,0.0,93,1656,5.616,0.229067,0.01395,3.76155,0.30200453,0.88779449
A_or_B,label,fork-choice,0,36,0.0,86,1656,5.193,0.248713,0.015137,4.086575,0.32990273,0.88779449
A_or_B,label,beacon-chain:block-processing,0,36,0.0,71,1656,4.287,0.303765,0.018457,4.999409,0.40438996,0.88779449
A_or_B,label,validator,0,36,0.0,64,1656,3.865,0.338218,0.020529,5.572234,0.44824678,0.88779449
A_or_B,label,other,0,36,0.0,59,1656,3.563,0.367791,0.022304,6.06486,0.48425154,0.88779449
A_or_B,label,sync,1,36,2.778,123,1656,7.428,0.524662,0.101363,2.715692,0.44191894,0.88779449
A_or_B,label,build-ci,0,36,0.0,47,1656,2.838,0.464167,0.028067,7.67637,0.59183835,0.95741546
A_or_B,label,engine-api,0,36,0.0,39,1656,2.355,0.56095,0.03382,9.304047,0.68661652,0.95741546
A_or_B,label,database,0,36,0.0,36,1656,2.174,0.608182,0.036616,10.101792,0.7286972,0.95741546
A_or_B,label,data-availability-sampling,0,36,0.0,32,1656,1.932,0.684721,0.041129,11.399316,0.7918095,0.95741546
A_or_B,label,cli,0,36,0.0,30,1656,1.812,0.730519,0.04382,12.178527,0.82685881,0.95741546
A_or_B,label,transactions,1,36,2.778,80,1656,4.831,0.827487,0.159066,4.304711,0.82192793,0.95741546
A_or_B,label,txpool,1,36,2.778,52,1656,3.14,1.291348,0.246333,6.769621,0.76228173,0.95741546
A_or_B,label,test,1,36,2.778,59,1656,3.563,1.134454,0.216967,5.931711,0.88117849,0.96929633
A_or_B,label,builder,0,36,0.0,21,1656,1.268,1.042052,0.061925,17.535331,0.97718454,0.97718454
A_or_B,label,p2p-interface,2,36,5.556,107,1656,6.461,1.044489,0.285073,3.826949,0.94761601,0.97718454
A_or_B,layer,consensus,4,36,11.111,686,1656,41.425,0.195742,0.072684,0.527146,0.0012520435,0.0012520435
A_or_B,layer,execution,32,36,88.889,970,1656,58.575,5.108764,1.897008,13.75823,0.0012520435,0.0012520435
A_or_B,root_cause,race_condition,0,36,0.0,195,1656,11.775,0.102407,0.00626,1.675257,0.11001024,0.52575489
A_or_B,root_cause,consensus_divergence,5,36,13.889,129,1656,7.79,2.059508,0.817994,5.185339,0.12513898,0.52575489
A_or_B,root_cause,missing_bounds_check,3,36,8.333,73,1656,4.408,2.250888,0.730321,6.937361,0.15772647,0.52575489
A_or_B,root_cause,resource_exhaustion,7,36,19.444,230,1656,13.889,1.573403,0.69749,3.549298,0.27483259,0.54966518
A_or_B,root_cause,integer_overflow_underflow,5,36,13.889,154,1656,9.3,1.698002,0.676153,4.264137,0.25974316,0.54966518
A_or_B,root_cause,incorrect_gas_accounting,0,36,0.0,43,1656,2.597,0.508109,0.030683,8.414208,0.63638239,0.70709154
A_or_B,root_cause,unhandled_error_or_nil,2,36,5.556,165,1656,9.964,0.65305,0.179093,2.381293,0.51857954,0.70709154
A_or_B,root_cause,other,2,36,5.556,152,1656,9.179,0.714897,0.195906,2.608785,0.61134339,0.70709154
A_or_B,root_cause,improper_state_update,2,36,5.556,72,1656,4.348,1.583708,0.429396,5.841069,0.48990638,0.70709154
A_or_B,root_cause,missing_input_validation,9,36,25.0,413,1656,24.94,1.03887,0.492715,2.190416,0.920189,0.920189
A_or_B,source_platform,geth,23,36,63.889,297,1656,17.935,7.954746,4.025943,15.717556,2.3948477e-09,2.3948477e-08
A_or_B,source_platform,besu,7,36,19.444,69,1656,4.167,5.807219,2.515227,13.407852,3.779388e-05,0.0001889694
A_or_B,source_platform,erigon,2,36,5.556,348,1656,21.014,0.272077,0.074957,0.987574,0.047814852,0.15938284
A_or_B,source_platform,nimbus,0,36,0.0,194,1656,11.715,0.103004,0.006296,1.685052,0.11092241,0.27730602
A_or_B,source_platform,reth,0,36,0.0,151,1656,9.118,0.136127,0.008313,2.229128,0.16210562,0.32421124
A_or_B,source_platform,nethermind,0,36,0.0,103,1656,6.22,0.205612,0.01253,3.373997,0.2678267,0.39580119
A_or_B,source_platform,lighthouse,1,36,2.778,157,1656,9.481,0.40228,0.077877,2.078019,0.27706083,0.39580119
A_or_B,source_platform,teku,0,36,0.0,86,1656,5.193,0.248713,0.015137,4.086575,0.32990273,0.40752246
