population,dimension,category,eligible_rows,confirmed_critical_or_high_rows,llm_high_candidate_rows,candidate_percent
combined_ef,source_platform,besu,25,2,0,0.0
combined_ef,source_platform,consensus-specs,1,1,0,0.0
combined_ef,source_platform,erigon,137,0,1,0.73
combined_ef,source_platform,geth,90,6,59,65.556
combined_ef,source_platform,grandine,6,0,0,0.0
combined_ef,source_platform,lighthouse,68,2,48,70.588
combined_ef,source_platform,lodestar,64,4,0,0.0
combined_ef,source_platform,nethermind,36,0,1,2.778
combined_ef,source_platform,nimbus,73,1,0,0.0
combined_ef,source_platform,prysm,1,0,1,100.0
combined_ef,source_platform,reth,56,2,0,0.0
combined_ef,source_platform,teku,35,0,0,0.0
combined_ef,layer,consensus,247,7,49,19.838
combined_ef,layer,execution,345,11,61,17.681
combined_ef,authority_tier,A_authoritative,62,18,0,0.0
combined_ef,authority_tier,B_corroborated,491,0,99,20.163
combined_ef,authority_tier,C_candidate,39,0,11,28.205
combined_ef,attack_path,crafted_state,145,4,35,24.138
combined_ef,attack_path,internal_only,6,1,0,0.0
combined_ef,attack_path,large_input,10,0,1,10.0
combined_ef,attack_path,malformed_input,213,5,38,17.84
combined_ef,attack_path,malicious_attestation,58,3,11,18.966
combined_ef,attack_path,malicious_block,33,0,7,21.212
combined_ef,attack_path,malicious_p2p_message,96,2,13,13.542
combined_ef,attack_path,malicious_tx,12,3,3,25.0
combined_ef,attack_path,peer,19,0,2,10.526
combined_ef,root_cause,consensus_divergence,65,4,14,21.538
combined_ef,root_cause,crypto_misuse,5,0,2,40.0
combined_ef,root_cause,improper_state_update,28,1,7,25.0
combined_ef,root_cause,incorrect_gas_accounting,17,0,1,5.882
combined_ef,root_cause,integer_overflow_underflow,78,2,18,23.077
combined_ef,root_cause,missing_bounds_check,39,0,8,20.513
combined_ef,root_cause,missing_input_validation,146,7,19,13.014
combined_ef,root_cause,other,38,1,6,15.789
combined_ef,root_cause,race_condition,35,0,5,14.286
combined_ef,root_cause,resource_exhaustion,87,2,20,22.989
combined_ef,root_cause,serialization_bug,6,1,3,50.0
combined_ef,root_cause,unhandled_error_or_nil,48,0,7,14.583
combined_ef,label,beacon-chain:attestation,29,2,8,27.586
combined_ef,label,beacon-chain:block-processing,30,0,8,26.667
combined_ef,label,beacon-chain:deposit,4,0,0,0.0
combined_ef,label,beacon-chain:execution-payload,8,2,1,12.5
combined_ef,label,beacon-chain:exit-consolidation,1,0,0,0.0
combined_ef,label,beacon-chain:justification-and-finality,2,1,0,0.0
combined_ef,label,beacon-chain:rewards-and-penalties,1,0,0,0.0
combined_ef,label,beacon-chain:slashing,5,0,3,60.0
combined_ef,label,beacon-chain:sync-committee,5,1,0,0.0
combined_ef,label,beacon-chain:withdrawal,4,0,0,0.0
combined_ef,label,blobs,7,0,5,71.429
combined_ef,label,block-processing,11,0,2,18.182
combined_ef,label,bls,3,0,2,66.667
combined_ef,label,build-ci,16,0,1,6.25
combined_ef,label,builder,8,0,0,0.0
combined_ef,label,cli,6,0,0,0.0
combined_ef,label,crypto,9,1,0,0.0
combined_ef,label,data-availability-sampling,16,0,4,25.0
combined_ef,label,database,13,0,3,23.077
combined_ef,label,deposit-contract,1,0,0,0.0
combined_ef,label,engine-api,19,1,0,0.0
combined_ef,label,evm,14,1,2,14.286
combined_ef,label,fork-choice,50,1,10,20.0
combined_ef,label,fork-transition,1,0,0,0.0
combined_ef,label,gas,10,1,3,30.0
combined_ef,label,kzg-commitments,7,0,1,14.286
combined_ef,label,light-client,5,0,1,20.0
combined_ef,label,metrics-observability,1,0,0,0.0
combined_ef,label,opcodes,6,2,2,33.333
combined_ef,label,other,7,1,0,0.0
combined_ef,label,p2p,23,1,5,21.739
combined_ef,label,p2p-interface,35,0,7,20.0
combined_ef,label,precompiles,5,1,0,0.0
combined_ef,label,rlp,8,0,1,12.5
combined_ef,label,rpc,8,1,0,0.0
combined_ef,label,serialization,7,0,3,42.857
combined_ef,label,state-trie,70,0,14,20.0
combined_ef,label,sync,53,0,13,24.528
combined_ef,label,test,18,0,5,27.778
combined_ef,label,transactions,38,1,5,13.158
combined_ef,label,txpool,20,0,1,5.0
combined_ef,label,validator,8,0,0,0.0
llm_only,source_platform,besu,22,0,0,0.0
llm_only,source_platform,erigon,130,0,1,0.769
llm_only,source_platform,geth,82,0,59,71.951
llm_only,source_platform,grandine,4,0,0,0.0
llm_only,source_platform,lighthouse,62,0,48,77.419
llm_only,source_platform,lodestar,38,0,0,0.0
llm_only,source_platform,nethermind,33,0,1,3.03
llm_only,source_platform,nimbus,71,0,0,0.0
llm_only,source_platform,prysm,1,0,1,100.0
llm_only,source_platform,reth,54,0,0,0.0
llm_only,source_platform,teku,35,0,0,0.0
llm_only,layer,consensus,211,0,49,23.223
llm_only,layer,execution,321,0,61,19.003
llm_only,authority_tier,A_authoritative,2,0,0,0.0
llm_only,authority_tier,B_corroborated,491,0,99,20.163
llm_only,authority_tier,C_candidate,39,0,11,28.205
llm_only,attack_path,crafted_state,133,0,35,26.316
llm_only,attack_path,large_input,10,0,1,10.0
llm_only,attack_path,malformed_input,183,0,38,20.765
llm_only,attack_path,malicious_attestation,55,0,11,20.0
llm_only,attack_path,malicious_block,33,0,7,21.212
llm_only,attack_path,malicious_p2p_message,90,0,13,14.444
llm_only,attack_path,malicious_tx,9,0,3,33.333
llm_only,attack_path,peer,19,0,2,10.526
llm_only,root_cause,consensus_divergence,59,0,14,23.729
llm_only,root_cause,crypto_misuse,4,0,2,50.0
llm_only,root_cause,improper_state_update,23,0,7,30.435
llm_only,root_cause,incorrect_gas_accounting,17,0,1,5.882
llm_only,root_cause,integer_overflow_underflow,75,0,18,24.0
llm_only,root_cause,missing_bounds_check,39,0,8,20.513
llm_only,root_cause,missing_input_validation,125,0,19,15.2
llm_only,root_cause,other,25,0,6,24.0
llm_only,root_cause,race_condition,33,0,5,15.152
llm_only,root_cause,resource_exhaustion,81,0,20,24.691
llm_only,root_cause,serialization_bug,4,0,3,75.0
llm_only,root_cause,unhandled_error_or_nil,47,0,7,14.894
llm_only,label,beacon-chain:attestation,27,0,8,29.63
llm_only,label,beacon-chain:block-processing,30,0,8,26.667
llm_only,label,beacon-chain:deposit,3,0,0,0.0
llm_only,label,beacon-chain:execution-payload,6,0,1,16.667
llm_only,label,beacon-chain:exit-consolidation,1,0,0,0.0
llm_only,label,beacon-chain:justification-and-finality,1,0,0,0.0
llm_only,label,beacon-chain:rewards-and-penalties,1,0,0,0.0
llm_only,label,beacon-chain:slashing,5,0,3,60.0
llm_only,label,beacon-chain:sync-committee,4,0,0,0.0
llm_only,label,beacon-chain:withdrawal,3,0,0,0.0
llm_only,label,blobs,7,0,5,71.429
llm_only,label,block-processing,11,0,2,18.182
llm_only,label,bls,3,0,2,66.667
llm_only,label,build-ci,9,0,1,11.111
llm_only,label,builder,8,0,0,0.0
llm_only,label,cli,5,0,0,0.0
llm_only,label,crypto,8,0,0,0.0
llm_only,label,data-availability-sampling,15,0,4,26.667
llm_only,label,database,13,0,3,23.077
llm_only,label,deposit-contract,1,0,0,0.0
llm_only,label,engine-api,17,0,0,0.0
llm_only,label,evm,13,0,2,15.385
llm_only,label,fork-choice,47,0,10,21.277
llm_only,label,gas,9,0,3,33.333
llm_only,label,kzg-commitments,7,0,1,14.286
llm_only,label,light-client,5,0,1,20.0
llm_only,label,metrics-observability,1,0,0,0.0
llm_only,label,opcodes,4,0,2,50.0
llm_only,label,other,2,0,0,0.0
llm_only,label,p2p,21,0,5,23.81
llm_only,label,p2p-interface,31,0,7,22.581
llm_only,label,precompiles,4,0,0,0.0
llm_only,label,rlp,8,0,1,12.5
llm_only,label,rpc,3,0,0,0.0
llm_only,label,serialization,7,0,3,42.857
llm_only,label,state-trie,67,0,14,20.896
llm_only,label,sync,50,0,13,26.0
llm_only,label,test,16,0,5,31.25
llm_only,label,transactions,37,0,5,13.514
llm_only,label,txpool,20,0,1,5.0
llm_only,label,validator,2,0,0,0.0
