population,tier,rows,denominator,percent
bounty_graded,Critical,2,60,3.333
bounty_graded,High,16,60,26.667
bounty_graded,Medium,39,60,65.0
bounty_graded,Low,3,60,5.0
bounty_graded,not-eligible,0,60,0.0
bounty_graded,tier-uncertain,0,60,0.0
llm_estimated,Critical,0,1552,0.0
llm_estimated,High,0,1552,0.0
llm_estimated,Medium,242,1552,15.593
llm_estimated,Low,180,1552,11.598
llm_estimated,not-eligible,1020,1552,65.722
llm_estimated,tier-uncertain,110,1552,7.088
combined_ef,Critical,2,1612,0.124
combined_ef,High,16,1612,0.993
combined_ef,Medium,281,1612,17.432
combined_ef,Low,183,1612,11.352
combined_ef,not-eligible,1020,1612,63.275
combined_ef,tier-uncertain,110,1612,6.824
