source_platform,rows_with_fix_commit,earliest,latest,author_committer_day_differs,rows_requested,resolved_pct
besu,101,2019-10-02T00:35:07+03:00,2026-06-19T11:18:04+10:00,1,101,100.0
erigon,395,2014-07-14T16:46:00+02:00,2026-06-30T02:38:18Z,31,395,100.0
geth,337,2014-11-28T19:42:05-05:00,2026-06-25T09:18:24+08:00,25,337,100.0
grandine,18,2025-01-27T18:08:43+02:00,2026-05-28T16:34:11+03:00,9,18,100.0
lighthouse,188,2018-09-19T17:48:52+10:00,2026-06-24T17:09:31-04:00,13,188,100.0
lodestar,221,2018-10-30T11:50:41-04:00,2026-06-24T14:15:07Z,10,221,100.0
nethermind,114,2018-10-14T15:51:18+01:00,2026-06-29T14:19:49+08:00,1,114,100.0
nimbus,245,2018-10-05T07:59:02-06:00,2026-06-10T17:55:38+01:00,26,245,100.0
prysm,69,2019-11-22T04:08:58Z,2026-05-21T16:18:30+01:00,7,69,100.0
reth,180,2022-12-14T12:21:18+02:00,2026-06-22T21:53:57+02:00,7,180,100.0
teku,91,2019-04-25T16:44:06-05:00,2026-06-12T11:53:24+02:00,0,91,100.0
