population,root_cause,rows,denominator,percent
current_geth,resource_exhaustion,77,407,18.919
current_geth,missing_input_validation,55,407,13.514
current_geth,other,52,407,12.776
current_geth,unhandled_error_or_nil,52,407,12.776
current_geth,race_condition,52,407,12.776
current_geth,consensus_divergence,27,407,6.634
current_geth,integer_overflow_underflow,25,407,6.143
current_geth,missing_bounds_check,25,407,6.143
current_geth,improper_state_update,18,407,4.423
current_geth,crypto_misuse,11,407,2.703
current_geth,incorrect_gas_accounting,11,407,2.703
current_geth,serialization_bug,1,407,0.246
current_geth,reentrancy,1,407,0.246
current_all_clients,missing_input_validation,522,2225,23.461
current_all_clients,resource_exhaustion,340,2225,15.281
current_all_clients,other,300,2225,13.483
current_all_clients,race_condition,217,2225,9.753
current_all_clients,unhandled_error_or_nil,208,2225,9.348
current_all_clients,integer_overflow_underflow,185,2225,8.315
current_all_clients,consensus_divergence,174,2225,7.82
current_all_clients,improper_state_update,90,2225,4.045
current_all_clients,missing_bounds_check,90,2225,4.045
current_all_clients,incorrect_gas_accounting,48,2225,2.157
current_all_clients,crypto_misuse,31,2225,1.393
current_all_clients,serialization_bug,19,2225,0.854
current_all_clients,reentrancy,1,2225,0.045
