ref,current_recall_status,TITLE,URL,MODULES,COMMITS
issues/17637,curated_match,Clef: cliui mixes extraneous and approval-specific Data,https://github.com/ethereum/go-ethereum/issues/17637,"{'ui': 2, 'rpc': 1, 'wallet': 6}",{'d3441ebb563439bac0837d70591f92e2c6080303'}
issues/2555,curated_match,geth 1.4.3 panics when calling RPC,https://github.com/ethereum/go-ethereum/issues/2555,{'others': 1},{'72e60dea36157ee34d8b082b5868d52ac9ae6bc3'}
pull/1189,curated_match,eth/downloader: handle timeouts more gracefully,https://github.com/ethereum/go-ethereum/pull/1189,{'network': 7},"{'94e4aa6ea9aabb5bf6244d9b38607b336703af98', 'b94a76d17e4cd92569157fe9dbde6748b2f93e6c', '328ef60b856f75bf664fb103bc54674d962bef2e'}"
pull/1314,curated_match,eth/fetcher: handle and test various DOS attacks,https://github.com/ethereum/go-ethereum/pull/1314,{'network': 4},"{'3ce17d2862e89e20b8e9b10cc02ee0b1333f6625', '99ca4b619b22c000dfe633b036ed0b9b0fe83523', 'b53f701c2791e7becba74c1efd4800fe68a06707', '1989d1491a21ec1dd8adb20906e07badc5a2f9c9', 'd36c25bcbcbc1986ab238465a187789c82818238', 'd21c2bfb6811c083f0ff4ed139e9f06a6d0348b2'}"
pull/14697,curated_match,swarm/storage: remove panic on invalid chunk,https://github.com/ethereum/go-ethereum/pull/14697,{'storage': 1},"{'caa00b7e6d0dcb0429ef83ae993a2656abde9b60', 'fdf2184b1ecc48c6f2e106dd8cff85ec1765e998'}"
pull/14718,curated_match,core/vm: fix overflow in gas calculation formula,https://github.com/ethereum/go-ethereum/pull/14718,{'evm': 2},"{'e4301564c2af0b4f084a3bcf8ddcec5e84ac4ead', 'dfd076244dd0c2d809f9dd0080feab167ba9560c', 'bae7565231376bbd23474e2e91c99a21542ef47a'}"
pull/14790,curated_match,vendor: update go-stack to fix a sigpanic panic,https://github.com/ethereum/go-ethereum/pull/14790,{'external': 3},"{'bd01cd7183e771984fb9c008e7a7ebf0a0c3f9ba', 'f3401631556f3aa9b0626513551eebab8af7d68a'}"
pull/1496,curated_match,"xeth: fix #1485, data race in fiilter creation and event firing",https://github.com/ethereum/go-ethereum/pull/1496,,"{'02c5022742e2bf6d2aadca06a6a1655214ba9d55', '3642441ca3a0afe94e581612ff99aef7f0e66a44'}"
pull/15665,curated_match,ethapi: GetTransactionReceipt panic fix,https://github.com/ethereum/go-ethereum/pull/15665,{'others': 3},"{'e9971d356bf977d2a3f63e50296d7410ade2d075', 'a377e5fe5154abea5a58ef38804e4dfcbb90ebb7', 'a721ab20d8de4ef43c3c1d53d54247def2a805ee'}"
pull/1568,curated_match,core: added a running flag to prevent panics in the chainmanager,https://github.com/ethereum/go-ethereum/pull/1568,{'consensus': 1},"{'acd2c4e52028ec1e34358d6d79ada7812723b32e', 'cc6c5846e58b56a17395cc0ff7478b03bddfb6d5'}"
