TYPE,type_name,mineblock_geth_issues,semantic_axis
1,Race Condition,48,root_cause
2,Check/Validation,14,root_cause
3,Resource Leak,12,root_cause
4,Transaction Related,9,subsystem_or_object
5,Deadlock,13,root_cause
6,Go Panic,36,symptom_or_impact
7,Block Related,21,subsystem_or_object
8,Denial-of-Service,11,symptom_or_impact
9,Peer/Node Related,11,subsystem_or_object
10,Sanity Check,3,root_cause
11,Overflow,8,root_cause
12,Wallet Key/Password,6,subsystem_or_object
14,RPC Related,5,subsystem_or_object
15,Out-of-Bound,4,root_cause
16,Off-by-One,2,root_cause
18,Memory Pool,1,subsystem_or_object
19,Nil Pointer Dereference,5,root_cause
20,Database Corruption,3,symptom_or_impact
