advisory_id,reviewed_scope,source_platform,record_id,appears_in_multiple_scopes
CVE-2022-36025,direct_client_implementation,besu,besu:ghsa-advisory:GHSA-4456-w38r-m53x,False
GHSA-4456-W38R-M53X,direct_client_implementation,besu,besu:ghsa-advisory:GHSA-4456-w38r-m53x,False
GHSA-7PG2-P5VJ-XP5H,direct_client_implementation,besu,besu:hyperledger-besu:GHSA-7pg2-p5vj-xp5h,False
GHSA-QGFJ-MJPC-7W3Q,direct_client_implementation,besu,besu:hyperledger-besu:GHSA-qgfj-mjpc-7w3q,False
CVE-2026-24400,dependency_or_tooling,besu,besu:hyperledger-besu:PR#9710,False
CVE-2025-22228,dependency_or_tooling,besu,e9c4d0538157b24f,False
CVE-2025-24970,dependency_or_tooling,besu,d03b52db03359043,False
CVE-2023-51775,dependency_or_tooling,besu,besu:hyperledger-besu:PR#7770,False
CVE-2024-7254,dependency_or_tooling,besu,besu:hyperledger-besu:PR#7664,False
CVE-2026-25680,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-25681,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-27136,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39821,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39827,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39828,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39829,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39830,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39831,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39832,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39833,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39834,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-39835,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-42502,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-42506,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-42508,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-46595,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-46597,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-46598,dependency_or_tooling,erigon,93076007b5f6d2f2,False
CVE-2026-22036,dependency_or_tooling,erigon,d062b8ac653cd7a7,False
CVE-2024-53259,dependency_or_tooling,erigon,erigon:erigontech-erigon:PR#13256,False
CVE-2020-26265,direct_client_implementation,erigon,erigon:erigontech-erigon:PR#5450,False
CVE-2025-24883,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
CVE-2026-26313,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,True
CVE-2026-26314,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,True
CVE-2026-26315,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,True
GHSA-2GJW-FG97-VG3R,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-4XC9-8HMQ-J652,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-689V-6XWF-5JF3,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-M6J8-RG6R-7MV8,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-MQ3P-RRMP-79JG,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-MR7Q-C9W9-WH4H,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-PPJG-V974-84CM,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-Q26P-9CQ4-7FC2,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-WJXW-GH3M-7PM5,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,False
GHSA-59HH-656J-3P7V,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-59hh-656j-3p7v,False
CVE-2021-39137,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-9856-9gg9-qcmq,False
GHSA-9856-9GG9-QCMQ,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-9856-9gg9-qcmq,False
GHSA-XW37-57QP-9MM4,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-xw37-57qp-9mm4,False
CVE-2020-26264,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-r33q-22hv-j29q,False
GHSA-R33Q-22HV-J29Q,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-r33q-22hv-j29q,False
CVE-2020-28362,dependency_or_tooling,geth,geth:ghsa-advisory:GHSA-m6gx-rhvj-fh52,False
GHSA-M6GX-RHVJ-FH52,dependency_or_tooling,geth,geth:ghsa-advisory:GHSA-m6gx-rhvj-fh52,False
CVE-2020-26242,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-jm5c-rv3w-w83m,False
GHSA-JM5C-RV3W-W83M,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-jm5c-rv3w-w83m,False
GHSA-69V6-XC2J-R2JF,direct_client_implementation,geth,geth:ethereum-go-ethereum:GHSA-69v6-xc2j-r2jf,False
CVE-2025-22869,dependency_or_tooling,geth,93a34a4a3b58f64f,False
RUSTSEC-2025-0137,dependency_or_tooling,grandine,grandine:beacon-api:PR#549,False
GHSA-WM9C-XVQQ-5C28,direct_client_implementation,lighthouse,lighthouse:sigp-lighthouse:GHSA-wm9c-xvqq-5c28,False
CVE-2022-0778,dependency_or_tooling,lighthouse,27a80054839cd95e,False
RUSTSEC-2020-0091,dependency_or_tooling,lighthouse,lighthouse:sigp-lighthouse:ISSUE#2086,False
GHSA-PGGP-6C3X-2XMX,dependency_or_tooling,lighthouse,ce53375ee1a6c3d4,False
GHSA-434X-W66G-QW3R,dependency_or_tooling,lighthouse,lighthouse:networking:PR#8743,False
RUSTSEC-2026-0007,dependency_or_tooling,lighthouse,lighthouse:networking:PR#8743,False
RUSTSEC-2025-0137,dependency_or_tooling,lighthouse,lighthouse:networking:PR#8617,False
RUSTSEC-2025-0004,dependency_or_tooling,lighthouse,lighthouse:networking:PR#6901,False
RUSTSEC-2024-0332,dependency_or_tooling,lighthouse,lighthouse:networking:PR#5514,False
GHSA-M9C9-MC2H-9WJW,direct_client_implementation,lodestar,lodestar:chainsafe-lodestar:GHSA-m9c9-mc2h-9wjw,False
GHSA-53RV-HCVM-RPP9,direct_client_implementation,lodestar,lodestar:chainsafe-lodestar:GHSA-53rv-hcvm-rpp9,False
CVE-2022-29219,direct_client_implementation,lodestar,bc36f78358adeec5,False
GHSA-CVJ7-5F3C-9VG9,direct_client_implementation,lodestar,bc36f78358adeec5,False
CVE-2022-4304,dependency_or_tooling,lodestar,lodestar:chainsafe-lodestar:PR#5166,False
CVE-2022-4450,dependency_or_tooling,lodestar,lodestar:chainsafe-lodestar:PR#5166,False
CVE-2023-0215,dependency_or_tooling,lodestar,lodestar:chainsafe-lodestar:PR#5166,False
CVE-2023-0286,dependency_or_tooling,lodestar,lodestar:chainsafe-lodestar:PR#5166,False
GHSA-FC9H-WHQ2-V747,dependency_or_tooling,lodestar,a4bfb41590b1a159,False
CVE-2026-33806,dependency_or_tooling,lodestar,lodestar:scope-networking:PR#9250,False
GHSA-247C-9743-5963,dependency_or_tooling,lodestar,lodestar:scope-networking:PR#9250,False
